HOUSEID,PERSONID,DRIVER,EDUC,R_AGE,R_RACE,R_SEX_IMP,WORKER
30055333,2,1,4,67,2,1,2
30055377,1,1,3,63,1,2,1
30055414,1,1,4,66,1,1,2
30055414,2,1,3,66,1,2,2
30055473,1,1,2,75,1,2,2
30055474,1,1,5,58,1,2,2
30055474,2,1,4,61,1,1,1
30055474,3,1,3,32,1,1,2
30055485,1,1,5,55,3,1,1
30055485,2,1,5,52,3,2,1
30055485,3,1,5,26,3,2,2
30055488,1,1,4,65,1,1,1
30055488,2,1,4,68,1,2,2
30055524,1,1,3,70,1,2,1
30055542,1,1,4,53,1,2,1
30055542,2,1,4,53,1,1,1
30055542,3,1,1,16,1,1,2
30055570,1,1,4,56,2,1,1
30055570,2,1,4,30,2,2,2
30055577,1,1,5,85,1,2,2
30055608,1,2,3,75,1,2,2
30055608,2,1,2,49,1,2,2
30055608,3,1,2,43,1,1,1
30055608,4,1,2,51,1,1,1
30055656,1,1,2,83,1,2,2
30055666,1,1,5,68,1,1,2
30055666,2,1,2,53,1,2,2
30055666,3,1,5,24,1,2,2
30055677,1,1,5,74,1,2,2
30055677,2,1,5,77,1,1,2
30055680,1,1,3,55,1,2,1
30055691,1,1,4,56,97,1,2
30055691,2,1,4,45,1,2,1
30055692,1,2,4,40,1,2,1
30055692,2,1,3,41,1,1,1
30055740,1,1,2,54,1,1,1
30055756,1,1,3,76,1,2,1
30055817,1,1,3,79,2,1,2
30055817,2,1,2,71,3,2,2
30055826,1,1,4,85,1,1,2
30055827,1,2,2,70,1,2,1
30055829,1,1,5,53,1,1,1
30055829,2,1,2,59,1,2,1
30055846,1,1,3,63,2,2,2
30055846,2,1,3,66,2,1,1
30055846,3,1,3,44,2,2,1
30055861,1,1,4,37,1,1,1
30055861,2,1,2,35,1,1,1
30055863,1,1,4,27,1,1,1
30055863,2,1,4,28,6,2,1
30055895,1,1,5,72,1,1,2
30055895,2,1,3,38,1,1,2
30055922,1,1,5,60,1,2,2
30055922,2,1,5,62,97,1,1
30055931,1,2,5,28,3,1,2
30055931,2,2,4,20,3,1,2
30055986,1,1,4,54,1,1,1
30055986,2,1,3,28,1,2,1
30055986,3,1,3,24,1,1,1
30056004,1,1,5,70,1,2,2
30056004,2,1,5,73,1,1,2
30056031,1,1,4,57,1,2,1
30056031,2,1,3,50,1,1,2
30056092,1,1,4,56,1,1,1
30056092,2,1,4,54,1,2,2
30056093,1,2,5,24,1,1,1
30056093,2,1,5,24,1,1,2
30056093,3,2,4,25,3,1,1
30056128,1,1,5,63,1,2,2
30056140,1,1,5,67,1,1,2
30056140,2,1,3,68,1,2,2
30056141,1,1,1,74,1,2,2
30056159,1,1,4,36,3,2,1
30056159,2,1,3,45,3,1,2
30056183,1,1,4,27,6,1,1
30056194,1,1,4,31,1,2,1
30056194,2,1,4,32,1,1,1
30056197,1,1,4,59,1,1,1
30056209,1,1,5,47,1,1,1
30056209,2,1,3,53,1,2,1
30056209,3,1,2,18,1,1,2
30056209,4,1,2,77,1,2,2
30056225,1,1,5,35,1,1,1
30056229,1,1,3,65,1,2,1
30056229,2,1,3,67,1,1,1
30056229,3,1,3,45,1,2,1
30056229,4,1,3,43,1,2,1
30056230,1,1,5,28,1,2,1
30056230,2,1,4,30,1,1,1
30056234,1,2,2,79,1,2,2
30056254,1,1,3,67,1,1,2
30056281,1,1,4,88,1,2,2
30056317,1,1,5,40,3,2,2
30056317,2,1,5,44,3,1,1
30056344,1,1,5,34,1,2,1
30056344,2,1,3,34,1,1,1
30056358,1,1,4,54,3,2,1
30056358,2,1,4,82,3,2,2
30056358,3,1,4,52,3,1,2
30056376,1,1,4,47,1,2,2
30056376,2,1,4,56,1,1,1
30056390,1,1,2,40,1,2,2
30056390,2,1,2,32,1,1,1
30056390,3,2,2,19,1,1,1
30056398,1,1,5,47,1,1,1
30056398,2,1,4,45,1,2,2
30056406,1,1,3,55,1,2,1
30056406,2,2,1,18,1,2,2
30056438,1,1,2,58,1,2,2
30056438,2,1,2,68,1,1,2
30056438,3,1,2,33,1,1,1
30056438,4,2,2,29,1,1,1
30056489,1,1,3,43,1,1,1
30056489,2,1,2,59,1,2,1
30056489,3,2,2,28,1,2,2
30056489,4,1,2,23,1,1,1
30056489,5,1,3,19,1,2,1
30056507,1,1,4,69,3,2,2
30056521,1,1,5,61,1,1,2
30056521,2,1,4,61,3,2,1
30056569,1,1,3,42,1,1,1
30056625,1,1,3,50,2,2,1
30056625,2,1,3,48,2,1,1
30056625,3,1,3,22,2,1,2
30056625,4,1,3,21,2,1,2
30056625,5,1,3,19,2,2,1
30056651,1,2,2,55,2,2,2
30056665,1,1,3,59,1,2,2
30056698,1,1,4,74,1,1,2
30056717,1,1,4,35,1,2,1
30056717,2,1,2,30,1,1,1
30056789,1,1,4,47,1,2,1
30056789,2,1,3,50,1,1,1
30056789,3,2,4,76,1,2,2
30056805,1,1,5,60,1,2,1
30056805,2,1,4,60,1,1,1
30056843,1,1,4,32,1,2,2
30056852,1,1,5,53,6,1,1
30056852,2,1,4,52,3,2,2
30056852,3,1,4,22,6,1,2
30056852,4,1,3,20,6,2,2
30056859,1,1,5,33,1,2,1
30056859,2,1,4,34,1,1,1
30056891,1,1,5,30,1,2,1
30056891,2,1,5,32,6,1,1
30056910,1,1,5,58,1,2,1
30056910,2,1,5,27,1,1,2
30056920,1,1,3,55,1,2,1
30056920,2,1,3,22,1,1,1
30056932,1,1,4,54,1,1,1
30056932,2,1,3,56,1,2,2
30056944,1,1,4,24,1,2,1
30056944,2,1,4,25,1,1,1
30056985,1,1,4,60,3,1,1
30056985,2,1,4,63,1,2,2
30056990,1,1,4,78,1,2,2
30056990,2,1,4,68,3,1,2
30056990,3,2,2,92,1,2,2
30057017,1,1,5,45,1,1,1
30057018,1,1,3,62,1,2,2
30057030,1,1,5,81,1,1,2
30057030,2,1,4,81,1,2,2
30057038,1,1,2,69,1,1,2
30057038,2,1,2,68,1,2,2
30057048,1,1,4,51,1,1,1
30057048,2,1,4,50,1,2,1
30057048,3,1,5,24,1,1,1
30057063,1,1,3,23,2,2,2
30057063,2,1,2,26,2,1,1
30057069,1,1,4,75,1,2,2
30057069,2,1,5,75,1,1,1
30057073,1,1,4,79,1,1,2
30057073,2,1,2,72,1,2,2
30057073,3,2,1,17,1,1,1
30057088,1,1,4,26,1,1,2
30057088,2,1,5,24,1,2,1
30057090,1,1,4,28,1,2,1
30057090,2,1,3,29,1,1,1
30057091,1,1,5,33,3,1,1
30057091,2,1,5,31,3,2,1
30057158,1,1,4,37,1,2,1
30057159,1,1,5,40,1,2,1
30057159,2,1,5,42,1,1,1
30057170,1,1,4,52,2,2,2
30057170,2,1,3,51,2,1,1
30057171,1,1,2,64,1,2,2
30057171,2,1,1,64,1,1,1
30057171,3,2,2,37,1,1,2
30057171,4,1,1,31,1,1,2
30057179,1,1,4,43,97,1,1
30057179,2,1,3,43,97,1,1
30057183,1,1,3,50,1,2,2
30057183,2,1,3,50,1,1,1
30057202,1,2,3,63,2,2,2
30057231,1,1,4,69,1,1,2
30057238,1,1,4,42,1,2,1
30057238,2,1,3,33,1,1,1
30057296,1,1,4,50,2,1,1
30057314,1,1,2,84,1,1,2
30057314,2,1,2,87,1,2,2
30057367,1,1,5,61,1,1,1
30057367,2,1,5,60,1,2,1
30057367,3,1,3,23,1,1,2
30057387,1,1,5,45,2,2,1
30057389,1,1,3,74,1,1,2
30057389,2,1,2,72,1,2,2
30057402,1,1,4,67,1,2,1
30057402,2,1,3,65,1,1,2
30057429,1,1,4,74,1,1,2
30057441,1,1,5,47,2,2,1
30057487,1,1,4,26,1,2,1
30057487,2,1,4,27,1,1,1
30057496,1,1,4,25,1,2,1
30057496,2,1,5,27,1,1,1
30057511,1,1,3,63,1,2,2
30057522,1,1,4,63,1,1,1
30057527,1,1,5,64,1,2,2
30057530,1,2,1,87,1,1,2
30057530,2,2,2,54,1,2,2
30057535,1,1,5,59,2,1,2
30057535,2,2,4,56,2,2,1
30057535,3,1,4,26,2,2,1
30057535,4,2,2,28,2,1,2
30057551,1,1,4,63,1,2,2
30057717,1,1,4,56,1,2,2
30057717,2,1,4,56,1,1,1
30057735,1,1,5,77,1,2,2
30057779,1,1,3,33,1,2,1
30057779,3,1,3,35,1,1,1
30057780,1,1,3,32,2,1,2
30057797,1,1,5,57,2,1,2
30057797,2,1,4,62,2,2,1
30057803,1,1,5,30,1,2,1
30057803,2,1,5,25,1,1,1
30057815,1,1,4,70,1,2,2
30057842,1,1,4,41,6,2,1
30057842,2,1,5,50,1,1,2
30057895,1,1,4,80,1,1,1
30057895,2,1,3,69,1,2,2
30057904,1,1,4,58,2,2,2
30057908,1,1,3,36,1,2,1
30057910,1,1,4,88,1,1,1
30057910,2,1,4,86,1,2,2
30057913,1,1,5,54,1,2,1
30057913,2,1,2,55,1,1,1
30057913,3,2,1,17,1,2,2
30057914,1,1,3,65,1,2,2
30057914,2,1,3,34,1,1,1
30057914,3,1,2,32,1,1,1
30057932,1,1,3,73,1,1,1
30057932,2,1,1,80,1,2,2
30057976,1,1,5,61,1,2,2
30058000,1,1,3,57,1,1,1
30058027,1,1,3,64,1,2,1
30058027,2,1,2,66,1,1,1
30058048,1,1,3,24,1,2,1
30058048,2,1,2,25,1,1,1
30058060,1,1,5,48,1,2,1
30058060,2,1,4,49,1,1,1
30058096,1,1,4,65,1,1,2
30058096,2,1,3,54,1,2,1
30058148,1,1,3,54,1,2,1
30058148,2,1,3,51,1,1,1
30058163,1,1,3,74,1,1,1
30058163,2,1,3,71,1,2,2
30058178,1,1,3,54,2,2,2
30058178,2,2,3,20,2,2,1
30058178,3,2,1,16,2,2,2
30058181,1,1,3,78,1,2,1
30058204,1,1,4,34,1,2,1
30058217,1,1,4,75,1,2,1
30058265,1,1,2,88,1,2,2
30058271,1,1,3,75,1,2,1
30058274,1,1,5,70,1,2,1
30058274,2,1,3,73,1,1,1
30058317,1,1,3,30,1,1,1
30058339,1,1,4,33,6,1,1
30058339,2,1,4,32,3,2,1
30058380,1,1,3,79,1,1,2
30058380,2,1,3,75,1,2,2
30058396,1,1,4,40,97,2,1
30058396,2,1,3,37,6,1,1
30058400,1,1,4,28,1,2,1
30058400,2,1,4,27,1,1,1
30058400,3,1,4,62,1,2,2
30058470,1,2,2,67,1,2,2
30058470,2,2,2,41,1,1,2
30058470,3,2,2,39,1,1,2
30058508,1,1,3,48,1,1,1
30058508,2,1,3,45,1,2,1
30058508,3,1,3,22,1,2,1
30058537,1,1,4,56,3,1,2
30058537,2,1,5,73,1,1,2
30058541,1,1,5,26,1,2,1
30058541,2,1,3,23,2,1,1
30058563,1,1,3,42,2,1,1
30058591,1,1,3,72,2,1,2
30058591,2,1,3,66,2,2,2
30058620,1,1,3,61,1,1,1
30058620,2,1,2,63,1,2,2
30058692,1,1,5,66,1,2,1
30058711,1,1,5,71,1,1,1
30058711,2,1,4,70,1,2,2
30058761,1,1,2,46,1,2,2
30058761,2,1,2,47,1,1,1
30058761,3,1,2,19,1,1,1
30058762,1,1,2,64,1,2,1
30058874,1,1,5,48,1,1,1
30058874,2,2,4,38,1,2,1
30058902,1,1,2,64,3,1,2
30058902,2,1,2,63,3,2,2
30058913,1,1,5,57,2,2,1
30058913,2,1,3,60,2,1,1
30058972,1,1,3,69,1,2,1
30058972,2,2,2,34,1,2,2
30059005,1,1,5,32,1,2,2
30059005,2,1,4,33,1,1,1
30059011,1,1,3,84,1,1,2
30059047,1,2,3,20,6,2,1
30059047,2,2,1,58,6,2,1
30059047,3,2,1,17,6,2,2
30059058,1,1,5,73,1,2,2
30059111,1,1,3,71,4,1,2
30059111,2,1,2,70,4,2,2
30059114,1,1,2,86,1,2,2
30059129,1,1,3,70,1,1,1
30059129,2,1,4,69,1,2,2
30059150,1,1,3,62,1,2,1
30059150,2,1,3,65,1,1,1
30059170,1,1,5,25,1,1,1
30059206,1,1,3,86,1,2,2
30059231,1,1,4,72,1,2,2
30059255,1,1,4,54,1,2,1
30059255,2,1,4,56,1,1,1
30059255,3,1,3,20,1,2,1
30059269,1,1,5,71,1,1,1
30059269,2,1,4,70,1,2,2
30059294,1,1,4,64,1,2,1
30059297,1,1,2,74,1,2,2
30059297,2,1,4,72,1,1,2
30059307,1,1,3,75,1,2,2
30059395,1,2,4,77,1,1,2
30059395,2,1,2,75,1,2,1
30059400,1,1,4,32,1,2,1
30059406,1,1,5,61,1,1,1
30059406,2,1,3,59,1,2,1
30059413,1,1,4,79,1,1,2
30059413,2,1,5,76,1,2,2
30059419,1,1,3,60,1,2,1
30059435,1,1,4,61,1,2,2
30059435,2,1,5,64,1,1,1
30059457,1,1,4,58,1,2,1
30059457,2,1,2,61,1,1,2
30059494,1,1,4,47,1,2,1
30059509,1,1,5,52,1,2,1
30059509,2,1,4,52,1,1,1
30059517,1,1,5,73,3,1,2
30059517,2,1,5,68,3,2,2
30059518,1,1,4,57,1,2,1
30059518,2,1,2,60,1,1,1
30059518,3,2,3,83,1,2,2
30059569,1,1,3,62,1,2,1
30059672,1,1,4,66,1,1,2
30059672,2,1,3,66,1,2,2
30059701,1,1,5,81,1,1,2
30059701,2,1,4,81,1,2,2
30059716,1,1,4,42,1,2,1
30059716,2,1,4,35,1,1,1
30059730,1,1,5,58,1,1,1
30059750,1,1,4,80,1,2,2
30059759,1,2,3,31,1,2,1
30059790,1,1,5,71,1,1,2
30059793,1,1,5,39,1,2,2
30059793,2,1,4,48,1,1,1
30059841,1,1,4,76,1,2,2
30059846,1,1,4,35,1,2,1
30059846,2,1,4,40,1,1,1
30059856,1,1,4,73,1,1,2
30059856,2,2,1,87,1,2,2
30059870,1,1,3,65,1,1,2
30059870,2,1,1,67,1,2,2
30059876,1,1,3,76,1,2,2
30059905,1,1,5,44,2,1,1
30059905,2,1,2,21,6,2,1
30060009,1,1,3,53,1,1,1
30060009,2,1,2,47,1,2,1
30060014,1,1,3,72,1,2,2
30060071,1,1,3,73,1,2,2
30060086,1,1,3,87,1,2,1
30060096,1,1,3,65,1,1,2
30060112,1,1,5,82,1,1,2
30060112,2,1,5,81,1,2,2
30060142,1,1,4,26,1,2,1
30060153,1,1,4,60,1,1,1
30060153,2,2,2,29,3,2,2
30060158,1,1,5,46,1,1,1
30060232,1,1,4,69,1,1,1
30060232,2,1,3,55,1,2,1
30060257,1,1,4,48,1,2,1
30060259,1,1,4,27,1,1,1
30060259,2,1,4,27,1,2,1
30060263,1,1,5,56,1,1,1
30060263,2,1,5,56,1,2,1
30060305,1,1,3,50,1,2,1
30060369,1,1,2,72,2,2,2
30060369,2,1,3,71,2,1,2
30060445,1,1,5,23,1,2,1
30060445,2,1,4,23,1,1,1
30060451,1,1,4,55,6,1,1
30060451,2,1,3,44,6,2,1
30060464,1,1,2,58,1,2,1
30060511,1,1,5,58,1,1,2
30060525,1,1,5,61,1,2,2
30060525,2,1,2,65,1,1,2
30060601,1,2,4,20,3,2,1
30060726,1,1,4,32,1,1,1
30060726,2,1,4,26,1,2,1
30060728,1,1,3,78,4,2,2
30060778,1,1,3,29,1,1,1
30060778,2,1,3,26,1,2,1
30060785,1,1,5,40,1,1,1
30060786,1,1,4,45,1,2,1
30060786,2,1,4,44,1,2,1
30060813,1,1,5,63,1,2,2
30060813,2,1,4,65,1,1,1
30060855,1,1,1,56,1,2,2
30060855,2,1,1,39,1,2,1
30060855,3,2,2,30,1,1,2
30060863,1,1,5,25,3,2,1
30060863,2,1,5,25,3,1,1
30060922,1,1,4,60,1,1,1
30060954,1,1,3,54,1,2,2
30060954,2,1,3,59,1,1,2
30060979,1,1,2,49,1,1,1
30061005,1,1,5,39,1,2,2
30061005,2,1,5,41,1,1,1
30061015,1,1,4,36,1,2,1
30061015,2,1,4,36,1,1,1
30061030,1,1,3,57,1,1,2
30061030,2,1,3,50,5,2,1
30061034,1,1,5,65,1,1,1
30061034,2,1,5,63,1,2,1
30061070,1,1,4,41,1,1,1
30061070,2,1,5,37,1,2,1
30061075,1,1,3,63,1,2,1
30061075,2,1,3,63,1,1,1
30061085,1,1,3,61,1,2,1
30061085,2,1,4,62,6,1,1
30061103,1,1,3,33,97,2,2
30061103,2,1,4,40,2,1,1
30061128,1,1,5,59,1,1,1
30061128,2,1,4,58,1,2,1
30061128,3,1,2,25,1,1,1
30061128,4,2,2,50,1,2,1
30061154,1,1,2,48,2,2,1
30061154,2,1,2,38,2,1,1
30061173,1,1,4,66,1,2,2
30061173,2,1,2,80,1,1,1
30061178,1,1,2,49,3,1,1
30061178,2,1,3,31,3,2,2
30061181,1,1,2,49,2,1,1
30061237,1,1,3,63,1,1,1
30061237,2,1,2,61,1,2,2
30061248,1,1,5,52,1,1,1
30061248,2,1,5,47,1,2,1
30061252,1,1,4,67,1,1,2
30061266,1,1,3,54,6,2,1
30061266,2,1,3,58,1,1,1
30061275,1,1,5,47,1,2,1
30061290,1,1,2,48,97,1,1
30061290,2,1,4,48,97,2,1
30061290,3,1,5,31,97,2,1
30061290,4,1,1,17,97,1,2
30061295,1,1,2,69,1,1,1
30061295,2,1,1,67,1,2,2
30061308,1,1,2,81,1,2,2
30061320,1,1,2,75,1,2,2
30061352,1,1,5,74,1,1,1
30061363,1,1,4,72,1,2,2
30061374,1,1,2,60,97,1,1
30061374,2,1,2,58,97,2,1
30061397,1,1,5,71,2,1,1
30061397,2,1,4,74,2,2,2
30061405,1,1,4,73,6,1,2
30061405,2,1,5,67,1,2,2
30061407,1,1,2,85,1,1,2
30061424,1,1,4,70,1,1,2
30061436,1,1,5,35,1,2,1
30061436,2,1,3,36,1,1,1
30061443,1,1,4,59,1,1,1
30061465,1,1,2,46,1,2,1
30061502,1,1,5,50,3,2,1
30061502,2,1,5,26,3,2,2
30061502,3,1,5,22,3,1,1
30061502,4,1,4,60,3,1,1
30061549,1,1,2,55,1,1,1
30061549,2,1,3,51,1,2,1
30061549,3,1,4,25,1,2,1
30061549,4,1,4,23,1,2,1
30061562,1,2,4,72,1,2,2
30061643,1,1,3,75,2,1,1
30061643,2,1,3,70,2,2,2
30061704,1,1,3,63,2,2,2
30061705,1,1,3,65,1,1,1
30061705,2,1,3,60,1,2,1
30061741,1,1,3,69,2,2,2
30061742,1,1,4,29,3,2,1
30061742,2,1,4,32,3,1,1
30061786,1,1,5,53,1,1,1
30061894,1,1,4,73,1,2,2
30061894,2,1,3,69,1,2,2
30061938,1,1,5,49,1,1,1
30061938,2,1,3,46,1,2,1
30061981,1,1,2,64,97,2,2
30061981,2,2,1,67,97,1,2
30062004,1,1,4,73,1,1,2
30062004,2,1,3,69,1,2,2
30062015,1,1,3,83,1,1,2
30062027,1,1,2,69,1,2,2
30062084,1,1,5,56,1,1,1
30062084,2,1,5,50,1,2,1
30062084,3,2,1,16,6,2,2
30062132,1,1,5,63,1,1,1
30062132,2,1,3,60,1,2,1
30062164,1,1,3,59,1,2,1
30062164,2,1,4,54,2,1,1
30062191,1,2,5,40,3,2,1
30062192,1,1,5,50,1,2,1
30062193,1,1,4,43,1,1,1
30062223,1,1,5,35,2,2,1
30062225,1,1,2,61,1,2,1
30062237,1,1,2,54,1,1,1
30062241,1,1,5,59,3,2,2
30062258,1,1,5,70,1,2,2
30062270,1,1,3,53,97,2,2
30062279,1,1,4,69,1,1,2
30062304,1,1,4,54,1,1,1
30062304,2,1,5,55,3,2,1
30062310,1,1,4,60,2,1,1
30062310,2,1,4,45,2,2,2
30062310,3,1,5,57,2,2,2
30062343,1,2,4,23,3,2,1
30062348,1,1,4,31,1,1,1
30062348,2,1,5,29,1,2,1
30062357,1,1,3,60,1,1,2
30062357,2,1,3,59,1,2,2
30062364,1,1,4,50,1,2,2
30062364,2,1,2,50,1,1,1
30062364,3,1,1,16,1,1,2
30062367,1,1,5,38,3,2,2
30062367,2,1,4,42,3,1,1
30062376,1,1,2,68,1,2,2
30062383,1,1,2,57,1,2,1
30062386,1,1,2,59,1,1,2
30062424,1,1,4,71,1,1,2
30062424,2,1,3,74,1,2,2
30062519,1,1,3,64,1,2,1
30062537,1,1,5,65,1,1,1
30062608,1,1,3,67,1,1,1
30062608,2,1,3,67,1,2,2
30062610,1,1,3,59,2,2,2
30062623,1,1,4,33,1,2,1
30062623,2,1,4,35,1,1,1
30062632,1,1,5,32,3,1,1
30062632,2,1,5,30,3,2,1
30062636,1,1,3,72,1,2,2
30062655,1,1,1,51,1,1,1
30062682,1,1,3,64,1,2,2
30062728,1,1,2,76,1,1,1
30062728,2,1,3,74,1,2,2
30062745,1,1,3,53,1,2,1
30062745,2,1,3,57,1,1,1
30062747,1,1,3,58,1,2,1
30062775,1,1,4,67,1,1,1
30062819,1,1,3,64,1,2,2
30062827,1,1,2,61,1,2,1
30062854,1,1,5,51,1,1,2
30062854,2,1,2,52,1,2,1
30062854,3,2,2,21,1,2,1
30062854,4,2,5,86,1,1,2
30062863,1,1,5,62,1,1,2
30062947,1,1,3,52,97,2,1
30062947,2,1,2,53,97,1,1
30062955,1,1,5,72,1,1,1
30062957,1,1,3,34,2,1,1
30062964,1,1,2,34,97,1,1
30062964,2,2,3,26,97,2,2
30062966,1,1,4,44,2,2,1
30062966,2,1,2,49,2,1,1
30062982,1,1,3,60,1,2,1
30063016,1,1,3,84,6,1,2
30063016,2,1,2,81,1,2,2
30063072,1,1,1,32,3,1,1
30063072,2,1,1,30,3,2,1
30063072,3,1,1,58,3,1,1
30063072,4,2,1,59,3,2,1
30063072,5,2,1,59,3,1,1
30063072,6,2,1,58,3,2,1
30063072,7,1,3,77,3,1,1
30063095,1,1,3,68,1,2,2
30063121,1,1,3,71,1,1,1
30063121,2,1,2,71,1,2,1
30063132,1,1,5,33,6,1,1
30063132,2,1,4,33,6,2,2
30063134,1,1,4,36,2,1,1
30063134,2,1,4,35,97,2,1
30063156,1,1,3,69,1,1,2
30063156,2,1,2,67,1,2,2
30063159,1,1,5,46,1,2,1
30063159,2,1,2,70,1,1,2
30063159,3,1,2,20,1,1,1
30063174,1,2,1,54,2,2,2
30063181,1,1,5,40,1,1,1
30063189,1,1,3,59,1,2,1
30063205,1,1,4,70,1,1,2
30063205,2,1,5,67,1,2,2
30063215,1,2,2,66,2,1,2
30063251,1,1,4,52,6,2,2
30063251,2,1,4,53,1,1,1
30063251,3,2,3,56,1,2,2
30063309,1,1,3,64,2,1,2
30063326,1,1,3,47,1,1,1
30063326,2,1,3,55,1,1,1
30063330,1,1,5,72,1,1,1
30063330,2,1,5,78,1,2,2
30063344,1,1,3,73,1,2,2
30063371,1,1,5,36,1,1,1
30063371,2,1,4,31,1,2,1
30063383,1,1,2,75,1,1,2
30063383,2,1,3,71,1,2,2
30063399,1,1,3,85,1,2,2
30063455,1,1,4,52,1,1,1
30063467,1,1,3,59,2,1,1
30063474,1,1,4,53,1,1,1
30063474,2,1,4,49,1,2,1
30063474,3,1,3,18,1,1,2
30063481,1,1,4,76,1,2,2
30063496,1,1,3,57,1,2,2
30063511,1,1,4,63,1,2,1
30063523,1,1,5,80,1,1,2
30063528,1,1,5,74,1,2,2
30063559,1,1,5,64,1,1,1
30063559,2,1,4,63,1,2,2
30063570,1,1,2,62,6,1,2
30063570,2,1,2,64,97,2,2
30063570,3,1,2,40,97,1,1
30063570,4,1,2,23,97,1,1
30063599,1,1,4,47,1,1,1
30063599,2,1,5,48,1,2,1
30063605,1,1,3,48,1,1,1
30063606,1,1,3,58,1,1,1
30063606,2,1,3,58,1,2,1
30063612,1,1,5,65,1,2,1
30063673,1,1,5,67,1,2,2
30063673,2,1,5,76,1,1,1
30063702,1,1,4,66,1,1,2
30063702,2,1,2,61,1,2,2
30063721,1,1,4,59,1,1,2
30063721,2,1,5,58,1,2,2
30063741,1,1,5,70,1,2,2
30063744,1,1,4,66,1,2,2
30063744,2,1,3,66,1,1,2
30063756,1,1,4,21,1,2,1
30063771,1,1,4,57,1,1,1
30063782,1,1,4,74,1,1,2
30063782,2,1,4,73,1,2,2
30063783,1,1,2,63,1,1,1
30063786,1,2,3,21,1,2,2
30063786,2,1,3,21,1,2,2
30063799,1,1,4,67,1,1,2
30063799,2,1,4,65,1,2,2
30063814,1,1,4,63,1,1,1
30063814,2,1,3,62,1,2,1
30063822,1,1,3,81,1,2,2
30063827,1,1,5,30,1,1,1
30063827,2,1,5,28,1,2,1
30063829,1,1,5,59,1,1,1
30063829,2,1,5,43,1,2,1
30063832,1,1,4,30,1,2,1
30063832,2,1,4,30,1,1,1
30063870,1,1,2,33,1,2,1
30063953,1,1,4,30,3,1,1
30063953,2,2,3,30,3,2,1
30063978,1,1,3,64,1,1,1
30063994,1,1,2,75,1,2,1
30064011,1,1,4,54,1,2,1
30064011,2,1,2,56,1,1,1
30064020,1,1,3,61,1,1,1
30064025,1,1,5,65,1,2,1
30064069,1,1,2,78,1,2,2
30064093,1,1,5,64,1,1,1
30064093,2,1,5,62,1,2,1
30064093,3,1,5,26,1,2,1
30064133,1,1,2,50,1,2,1
30064167,1,2,2,60,2,2,1
30064177,1,1,4,48,1,1,1
30064251,1,1,2,50,1,1,1
30064265,1,1,3,27,1,2,1
30064265,2,1,4,31,1,1,1
30064266,1,1,2,71,1,2,2
30064266,2,1,2,58,1,1,1
30064270,1,1,4,64,1,2,1
30064270,2,1,2,64,1,1,1
30064270,3,1,4,35,1,1,1
30064276,1,1,3,73,1,2,2
30064279,1,1,5,36,1,1,1
30064286,1,1,3,69,1,1,2
30064286,2,1,2,65,1,2,2
30064298,1,1,3,55,1,1,1
30064298,2,1,2,55,1,2,1
30064354,1,1,5,52,2,2,1
30064354,2,1,3,20,2,2,1
30064356,1,1,2,31,1,2,1
30064356,2,1,2,35,1,1,1
30064364,1,1,4,65,1,2,1
30064364,2,1,4,68,1,1,1
30064373,1,1,5,83,1,1,2
30064373,2,2,4,82,1,2,2
30064406,1,1,4,71,1,1,2
30064425,1,1,4,74,1,1,2
30064425,2,1,3,71,1,2,2
30064427,1,1,3,81,2,1,1
30064428,1,1,5,29,1,1,1
30064493,1,1,5,56,1,1,1
30064493,2,1,5,56,1,2,2
30064547,1,1,5,78,1,2,2
30064547,2,2,5,80,1,1,2
30064561,1,1,3,55,1,2,1
30064561,2,1,1,53,1,1,1
30064568,1,1,4,30,1,2,1
30064568,2,1,4,32,1,1,1
30064600,1,1,4,22,1,2,2
30064600,2,1,4,22,97,2,2
30064607,1,2,2,64,1,1,2
30064613,1,1,5,34,1,1,1
30064614,1,1,2,54,1,1,1
30064614,2,1,2,53,1,2,2
30064695,1,1,5,79,3,2,2
30064695,2,1,3,54,3,1,1
30064738,1,1,3,71,1,2,2
30064739,1,1,3,71,2,2,2
30064739,2,2,1,17,2,2,1
30064799,1,1,5,65,1,1,1
30064799,2,1,3,65,1,2,2
30064807,1,1,5,55,1,1,1
30064807,2,1,4,53,1,2,2
30064883,1,1,4,72,1,2,2
30064885,1,1,4,63,1,1,1
30064885,2,1,3,62,1,2,1
30064898,1,1,2,77,1,1,2
30064898,2,1,3,56,1,1,1
30064909,1,1,3,56,2,2,1
30064909,2,1,3,53,2,1,1
30064909,3,1,3,23,2,2,1
30064935,1,1,5,64,2,2,1
30064935,2,1,2,68,2,1,2
30064956,1,1,3,80,1,1,2
30065068,1,1,5,37,2,2,1
30065068,2,1,4,32,2,1,1
30065068,3,1,3,20,2,2,2
30065098,1,1,4,62,1,2,2
30065103,1,1,4,82,1,2,1
30065104,1,1,4,27,1,1,2
30065104,2,1,5,27,1,2,1
30065205,1,1,2,70,1,2,2
30065345,1,1,3,74,1,2,2
30065371,1,1,3,65,1,2,2
30065381,1,1,3,74,1,2,2
30065398,1,1,2,50,1,2,2
30065398,2,1,3,54,1,1,1
30065462,1,1,4,28,1,1,1
30065462,2,1,4,30,1,2,2
30065523,1,1,4,54,1,2,2
30065523,2,1,2,73,1,1,2
